species,spp_concat,code,abbrev,common_name,type,occupancy_decline,significant,minLat,maxLat,intercept,slope,mass_high_lat,mass_low_lat,mass_lat_change,resids,clutch_size,territoriality,elevational_preference,range_margin,habitat,diet,migratory,migratory2,mass,density_of_fibers,vertnet_mass,shortwave_absorptance_dorsal,shortwave_absorptance_ventral,longwave_absorptance,feather_length_dorsal,feather_length_ventral,insulation_depth_dorsal,insulation_depth_ventral,length,width,height,emissivity,physiology_known,version,water_threshold,physiology_known_master,body_temperature_min,body_temperature_max,lower_critical_temperature,upper_critical_temperature,water_heat_ratio_slope,water_heat_ratio_intercept,body_temperature_slope1,body_temperature_slope2,body_temperature_intercept,water_loss_slope,water_loss_intercept,citations,notes
Accipiter striatus,Accipiterstriatus,SSHA,Astriat,Sharp-shinned Hawk,bird,-0.323977301,TRUE,23.46889,59.646,137.0181349,-0.142150993,137.2633454,133.6820089,-2.637191618,-0.073490441,4.2,A,0,south,3,1,1,R,138.5,11008.8065,135.801149,0.750840366,0.456325395,0.96,0.029444444,0.037111111,0.009066667,0.005466667,0.16,0.063333333,0.051666667,0.97,0,no_physiology,-6.805249477,0,39,40,25,35,,,,,,,,,
Aeronautes saxatalis,Aeronautessaxatalis,WTSW,Asexata,White-throated Swift,bird,-0.36286633,TRUE,20.75435051,49.343986,35.30303506,-0.194599557,34.48085193,31.26424764,-10.0493839,-0.17038357,4.3,other,0,south,2,2,1,R,31.9,5063.8311,32.007975,0.840678921,0.652375051,0.96,0.011555556,0.012444444,0.004,0.0039,0.075,0.032666667,0.031,0.97,0,no_physiology,-3.592501826,0,39,40,25,35,,,,,,,,,
Agelaius phoeniceus,Agelaiusphoeniceus,RWBL,Aphoeni,Red-winged Blackbird,bird,-0.133885246,TRUE,26.1265753,56.1833324,61.38296405,-0.342933099,61.98309697,52.42329662,-16.63705642,0.082081579,3.3,A,0,none,1,3,1,R,54,6296.326,57.460888,0.865244183,0.855927462,0.96,0.025666667,0.021666667,0.0057,0.006666667,0.106666667,0.042333333,0.039666667,0.97,0,no_physiology,-6.872917141,0,39,40,25,35,,,,,,,,,
Amphispiza bilineata,Amphispizabilineata,BTSP,Abiline,Black-throated Sparrow,bird,-0.078337957,TRUE,23.058333,41.2691928,13.9350303,-0.039684409,13.81068595,13.01997398,-5.943383553,0.078909239,3,A,0,none,2,2,2,T,13.5,4037.6815,13.304071,0.759786525,0.674732156,0.96,0.015222222,0.016,0.004316667,0.003533333,0.066666667,0.031,0.026,0.97,0,no_physiology,-2.196215613,0,39,40,25,35,,,,,,,,,
Aphelocoma californica,Aphelocomacalifornica,WESJ,Acalifo,California Scrub Jay,bird,-0.060093317,TRUE,23.441944,45.073578,91.21443603,-0.352380243,89.47308915,82.95395811,-7.64730445,0.171705101,4,A,1,north,3,3,1,R,82.8,7902.4732,85.247437,0.731618567,0.672381827,0.96,0.033055556,0.03,0.008266667,0.0083,0.1285,0.053333333,0.044666667,0.97,0,physiology,-0.982882876,1,41.5,41.5,12.4,34,0.022933,0.13269,-0.2364,0.0060824,44.154,0.020313,143.79,1: Physiological data = Mann 1983,
Aphelocoma woodhousei,Aphelocomawoodhouseii,WOSJ,Awoodho,Woodhouse's Scrub-Jay,bird,-0.035732661,FALSE,29.27428,40.5525,78.43427286,-0.136671534,78.35454784,74.43331211,-5.093844956,0.191971375,4,A,1,south,3,3,1,R,82.8,7902.4732,76.97988,0.750354016,0.718589591,0.96,0.028777778,0.025777778,0.00935,0.00645,0.122833333,0.046,0.044333333,0.97,0,no_physiology,-5.070945108,0,39,40,25,35,,,,,,,,,
Auriparus flaviceps,Auriparusflaviceps,VERD,Aflavic,Verdin,bird,-0.094605296,FALSE,22.225556,36.463047,7.306678618,-0.025539887,7.058303217,6.739040429,-4.675680927,0.035870897,3.5,A,0,north,2,2,1,R,7,3675.183,6.828156,0.735031501,0.603455453,0.96,0.011222222,0.008944444,0.00395,0.003166667,0.048666667,0.024,0.022666667,0.97,0,physiology,-0.752326301,1,41.15,41.15,30,40,0.1021,0.031212,0,0,41.15,0.13872,1.2822,1: Physiological data = Wolf and Walsberg (1996) |2: Tb data from Webster and Weather (1988),the exponential model for physiology data only works for temperature > 30C
Calypte anna,Calypteanna,ANHU,Calanna,Anna's Hummingbird,bird,-0.065582598,FALSE,29.4936111,59.2327,4.443612392,-0.031761775,4.327417338,3.506842952,-20.87037166,0.042740171,2,A,1,patchy,2,3,1,R,4.4,3530.1836,3.931767,0.821644521,0.781089416,0.96,0.006222222,0.006777778,0.003,0.003,0.04,0.014666667,0.018333333,0.97,0,physiology,-0.226042617,1,42,44.3,33,37,0.05942,0.035127,-0.25569,0.0056211,45.259,0.030463,17.294,1: Physiological data = Powers,
Calypte costae,Calyptecostae,COHU,Ccostae,Costa's Hummingbird,bird,-0.239377049,TRUE,23.566667,37.90625,3.278842889,-0.027065787,3.127951126,2.6409925,-17.40284674,-0.144705516,2,A,0,patchy,2,3,2,T,3.1,3457.6839,2.798155,0.808607674,0.708463697,0.96,0.004777778,0.005444444,0.00275,0.0025,0.036666667,0.014333333,0.015666667,0.97,0,physiology,-1.039842211,1,37.5,37.5,30,40,0.063377,0.042373,0,0,37.5,0.027677,22.052,1: Physiological data = Lasiewski 1964,the exponential model for physiology data only works for temperature > 20C
Campylorhynchus brunneicapillus,Campylorhynchusbrunneicapillus,CACW,Cbrunne,Cactus Wren,bird,-0.042177806,FALSE,20.430596,37.33744,41.38762057,-0.139649938,39.9829796,38.53448911,-3.727233318,0.158092882,3.9,A,0,patchy,2,3,1,R,38.9,5454.2141,38.862351,0.754294569,0.568164274,0.96,0.025555556,0.019111111,0.0091,0.006733333,0.103333333,0.044333333,0.039333333,0.97,0,physiology,-1.325290356,1,41.1,44.5,25,37,0.11205,0.0084563,-0.61162,0.009976,50.257,0.11888,3.3205,1: Tb min and max and UCT; Smith et al. 2025,
